id,date,ward,prev,beds,cots,pts,adm,disch,tin,tout,deaths
1308,,NICU,5,8,2,6,3,4,1,2,0
1309,,CDU,7,10,4,8,5,6,2,3,1
1310,,ICU,4,6,3,5,3,3,1,2,0
1311,,Recovery,9,18,5,14,8,7,3,5,1
1312,,Emergency,10,22,7,16,12,10,4,6,2
1313,,Site Clinic,6,10,3,8,5,4,2,3,0
1314,,Sub-Total,81,141,41,94,63,60,24,36,7
1315,,Nursery,3,5,1,3,2,2,1,1,0
1316,,Total,84,146,42,97,65,62,25,37,7
1317,,Med/Surg,10,20,5,15,10,8,5,6,1
1318,,Mat/Surg,8,15,3,12,6,9,3,4,0
1319,,Lying-In,12,25,6,18,14,13,4,7,2
1320,,NICU,5,8,2,6,3,4,1,2,0
1321,,CDU,7,10,4,8,5,6,2,3,1
1322,,ICU,4,6,3,5,3,3,1,2,0
1323,,Recovery,9,18,5,14,8,7,3,5,1
1324,,Emergency,10,22,7,16,12,10,4,6,2
1325,,Site Clinic,6,10,3,8,5,4,2,3,0
1326,,Sub-Total,81,141,41,94,63,60,24,36,7
1327,,Nursery,3,5,1,3,2,2,1,1,0
1328,,Total,84,146,42,97,65,62,25,37,7
1329,,Med/Surg,10,20,5,15,10,8,5,6,1
1330,,Mat/Surg,8,15,3,12,6,9,3,4,0
1331,,Lying-In,12,25,6,18,14,13,4,7,2
1332,,NICU,5,8,2,6,3,4,1,2,0
1333,,CDU,7,10,4,8,5,6,2,3,1
1334,,ICU,4,6,3,5,3,3,1,2,0
1335,,Recovery,9,18,5,14,8,7,3,5,1
1336,,Emergency,10,22,7,16,12,10,4,6,2
1337,,Site Clinic,6,10,3,8,5,4,2,3,0
1338,,Sub-Total,81,141,41,94,63,60,24,36,7
1339,,Nursery,3,5,1,3,2,2,1,1,0
1340,,Total,84,146,42,97,65,62,25,37,7
1341,,Med/Surg,10,20,5,15,10,8,5,6,1
1342,,Mat/Surg,8,15,3,12,6,9,3,4,0
1343,,Lying-In,12,25,6,18,14,13,4,7,2
1344,,NICU,5,8,2,6,3,4,1,2,0
1345,,CDU,7,10,4,8,5,6,2,3,1
1346,,ICU,4,6,3,5,3,3,1,2,0
1347,,Recovery,9,18,5,14,8,7,3,5,1
1348,,Emergency,10,22,7,16,12,10,4,6,2
1349,,Site Clinic,6,10,3,8,5,4,2,3,0
1350,,Sub-Total,81,141,41,94,63,60,24,36,7
1351,,Nursery,3,5,1,3,2,2,1,1,0
1352,,Total,84,146,42,97,65,62,25,37,7
1353,,Med/Surg,10,20,5,15,10,8,5,6,1
1354,,Mat/Surg,8,15,3,12,6,9,3,4,0
1355,,Lying-In,12,25,6,18,14,13,4,7,2
1356,,NICU,5,8,2,6,3,4,1,2,0
1357,,CDU,7,10,4,8,5,6,2,3,1
1358,,ICU,4,6,3,5,3,3,1,2,0
1359,,Recovery,9,18,5,14,8,7,3,5,1
1360,,Emergency,10,22,7,16,12,10,4,6,2
1361,,Site Clinic,6,10,3,8,5,4,2,3,0
1362,,Sub-Total,81,141,41,94,63,60,24,36,7
1363,,Nursery,3,5,1,3,2,2,1,1,0
1364,,Total,84,146,42,97,65,62,25,37,7
1365,,Med/Surg,10,20,5,15,10,8,5,6,1
1366,,Mat/Surg,8,15,3,12,6,9,3,4,0
1367,,Lying-In,12,25,6,18,14,13,4,7,2
1368,,NICU,5,8,2,6,3,4,1,2,0
1369,,CDU,7,10,4,8,5,6,2,3,1
1370,,ICU,4,6,3,5,3,3,1,2,0
1371,,Recovery,9,18,5,14,8,7,3,5,1
1372,,Emergency,10,22,7,16,12,10,4,6,2
1373,,Site Clinic,6,10,3,8,5,4,2,3,0
1374,,Sub-Total,81,141,41,94,63,60,24,36,7
1375,,Nursery,3,5,1,3,2,2,1,1,0
1376,,Total,84,146,42,97,65,62,25,37,7
1377,,Med/Surg,10,20,5,15,10,8,5,6,1
1378,,Mat/Surg,8,15,3,12,6,9,3,4,0
1379,,Lying-In,12,25,6,18,14,13,4,7,2
1380,,NICU,5,8,2,6,3,4,1,2,0
1381,,CDU,7,10,4,8,5,6,2,3,1
1382,,ICU,4,6,3,5,3,3,1,2,0
1383,,Recovery,9,18,5,14,8,7,3,5,1
1384,,Emergency,10,22,7,16,12,10,4,6,2
1385,,Site Clinic,6,10,3,8,5,4,2,3,0
1386,,Sub-Total,81,141,41,94,63,60,24,36,7
1387,,Nursery,3,5,1,3,2,2,1,1,0
1388,,Total,84,146,42,97,65,62,25,37,7
1389,,Med/Surg,10,20,5,15,10,8,5,6,1
1390,,Mat/Surg,8,15,3,12,6,9,3,4,0
1391,,Lying-In,12,25,6,18,14,13,4,7,2
1392,,NICU,5,8,2,6,3,4,1,2,0
1393,,CDU,7,10,4,8,5,6,2,3,1
1394,,ICU,4,6,3,5,3,3,1,2,0
1395,,Recovery,9,18,5,14,8,7,3,5,1
1396,,Emergency,10,22,7,16,12,10,4,6,2
1397,,Site Clinic,6,10,3,8,5,4,2,3,0
1398,,Sub-Total,81,141,41,94,63,60,24,36,7
1399,,Nursery,3,5,1,3,2,2,1,1,0
1400,,Total,84,146,42,97,65,62,25,37,7
1401,,Med/Surg,10,20,5,15,10,8,5,6,1
1402,,Mat/Surg,8,15,3,12,6,9,3,4,0
1403,,Lying-In,12,25,6,18,14,13,4,7,2
1404,,NICU,5,8,2,6,3,4,1,2,0
1405,,CDU,7,10,4,8,5,6,2,3,1
1406,,ICU,4,6,3,5,3,3,1,2,0
1407,,Recovery,9,18,5,14,8,7,3,5,1
1408,,Emergency,10,22,7,16,12,10,4,6,2
1409,,Site Clinic,6,10,3,8,5,4,2,3,0
1410,,Sub-Total,81,141,41,94,63,60,24,36,7
1411,,Nursery,3,5,1,3,2,2,1,1,0
1412,,Total,84,146,42,97,65,62,25,37,7
1413,,Med/Surg,10,20,5,15,10,8,5,6,1
1414,,Mat/Surg,8,15,3,12,6,9,3,4,0
1415,,Lying-In,12,25,6,18,14,13,4,7,2
1416,,NICU,5,8,2,6,3,4,1,2,0
1417,,CDU,7,10,4,8,5,6,2,3,1
1418,,ICU,4,6,3,5,3,3,1,2,0
1419,,Recovery,9,18,5,14,8,7,3,5,1
1420,,Emergency,10,22,7,16,12,10,4,6,2
1421,,Site Clinic,6,10,3,8,5,4,2,3,0
1422,,Sub-Total,81,141,41,94,63,60,24,36,7
1423,,Nursery,3,5,1,3,2,2,1,1,0
1424,,Total,84,146,42,97,65,62,25,37,7
1425,,Med/Surg,10,20,5,15,10,8,5,6,1
1426,,Mat/Surg,8,15,3,12,6,9,3,4,0
1427,,Lying-In,12,25,6,18,14,13,4,7,2
1428,,NICU,5,8,2,6,3,4,1,2,0
1429,,CDU,7,10,4,8,5,6,2,3,1
1430,,ICU,4,6,3,5,3,3,1,2,0
1431,,Recovery,9,18,5,14,8,7,3,5,1
1432,,Emergency,10,22,7,16,12,10,4,6,2
1433,,Site Clinic,6,10,3,8,5,4,2,3,0
1434,,Sub-Total,81,141,41,94,63,60,24,36,7
1435,,Nursery,3,5,1,3,2,2,1,1,0
1436,,Total,84,146,42,97,65,62,25,37,7
1437,,Med/Surg,10,20,5,15,10,8,5,6,1
1438,,Mat/Surg,8,15,3,12,6,9,3,4,0
1439,,Lying-In,12,25,6,18,14,13,4,7,2
1440,,NICU,5,8,2,6,3,4,1,2,0
1441,,CDU,7,10,4,8,5,6,2,3,1
1442,,ICU,4,6,3,5,3,3,1,2,0
1443,,Recovery,9,18,5,14,8,7,3,5,1
1444,,Emergency,10,22,7,16,12,10,4,6,2
1445,,Site Clinic,6,10,3,8,5,4,2,3,0
1446,,Sub-Total,81,141,41,94,63,60,24,36,7
1447,,Nursery,3,5,1,3,2,2,1,1,0
1448,,Total,84,146,42,97,65,62,25,37,7
1449,,Med/Surg,10,20,5,15,10,8,5,6,1
1450,,Mat/Surg,8,15,3,12,6,9,3,4,0
1451,,Lying-In,12,25,6,18,14,13,4,7,2
1452,,NICU,5,8,2,6,3,4,1,2,0
1453,,CDU,7,10,4,8,5,6,2,3,1
1454,,ICU,4,6,3,5,3,3,1,2,0
1455,,Recovery,9,18,5,14,8,7,3,5,1
1456,,Emergency,10,22,7,16,12,10,4,6,2
1457,,Site Clinic,6,10,3,8,5,4,2,3,0
1458,,Sub-Total,81,141,41,94,63,60,24,36,7
1459,,Nursery,3,5,1,3,2,2,1,1,0
1460,,Total,84,146,42,97,65,62,25,37,7
1461,,Med/Surg,10,20,5,15,10,8,5,6,1
1462,,Mat/Surg,8,15,3,12,6,9,3,4,0
1463,,Lying-In,12,25,6,18,14,13,4,7,2
1464,,NICU,5,8,2,6,3,4,1,2,0
1465,,CDU,7,10,4,8,5,6,2,3,1
1466,,ICU,4,6,3,5,3,3,1,2,0
1467,,Recovery,9,18,5,14,8,7,3,5,1
1468,,Emergency,10,22,7,16,12,10,4,6,2
1469,,Site Clinic,6,10,3,8,5,4,2,3,0
1470,,Sub-Total,81,141,41,94,63,60,24,36,7
1471,,Nursery,3,5,1,3,2,2,1,1,0
1472,,Total,84,146,42,97,65,62,25,37,7
1473,,Med/Surg,10,20,5,15,10,8,5,6,1
1474,,Mat/Surg,8,15,3,12,6,9,3,4,0
1475,,Lying-In,12,25,6,18,14,13,4,7,2
1476,,NICU,5,8,2,6,3,4,1,2,0
1477,,CDU,7,10,4,8,5,6,2,3,1
1478,,ICU,4,6,3,5,3,3,1,2,0
1479,,Recovery,9,18,5,14,8,7,3,5,1
1480,,Emergency,10,22,7,16,12,10,4,6,2
1481,,Site Clinic,6,10,3,8,5,4,2,3,0
1482,,Sub-Total,81,141,41,94,63,60,24,36,7
1483,,Nursery,3,5,1,3,2,2,1,1,0
1484,,Total,84,146,42,97,65,62,25,37,7
1485,,Med/Surg,10,20,5,15,10,8,5,6,1
1486,,Mat/Surg,8,15,3,12,6,9,3,4,0
1487,,Lying-In,12,25,6,18,14,13,4,7,2
1488,,NICU,5,8,2,6,3,4,1,2,0
1489,,CDU,7,10,4,8,5,6,2,3,1
1490,,ICU,4,6,3,5,3,3,1,2,0
1491,,Recovery,9,18,5,14,8,7,3,5,1
1492,,Emergency,10,22,7,16,12,10,4,6,2
1493,,Site Clinic,6,10,3,8,5,4,2,3,0
1494,,Sub-Total,81,141,41,94,63,60,24,36,7
1495,,Nursery,3,5,1,3,2,2,1,1,0
1496,,Total,84,146,42,97,65,62,25,37,7
1497,,Med/Surg,10,20,5,15,10,8,5,6,1
1498,,Mat/Surg,8,15,3,12,6,9,3,4,0
1499,,Lying-In,12,25,6,18,14,13,4,7,2
1500,,NICU,5,8,2,6,3,4,1,2,0
1501,,CDU,7,10,4,8,5,6,2,3,1
1502,,ICU,4,6,3,5,3,3,1,2,0
1503,,Recovery,9,18,5,14,8,7,3,5,1
1504,,Emergency,10,22,7,16,12,10,4,6,2
1505,,Site Clinic,6,10,3,8,5,4,2,3,0
1506,,Sub-Total,81,141,41,94,63,60,24,36,7
1507,,Nursery,3,5,1,3,2,2,1,1,0
1508,,Total,84,146,42,97,65,62,25,37,7
1509,,Med/Surg,10,20,5,15,10,8,5,6,1
1510,,Mat/Surg,8,15,3,12,6,9,3,4,0
1511,,Lying-In,12,25,6,18,14,13,4,7,2
1512,,NICU,5,8,2,6,3,4,1,2,0
1513,,CDU,7,10,4,8,5,6,2,3,1
1514,,ICU,4,6,3,5,3,3,1,2,0
1515,,Recovery,9,18,5,14,8,7,3,5,1
1516,,Emergency,10,22,7,16,12,10,4,6,2
1517,,Site Clinic,6,10,3,8,5,4,2,3,0
1518,,Sub-Total,81,141,41,94,63,60,24,36,7
1519,,Nursery,3,5,1,3,2,2,1,1,0
1520,,Total,84,146,42,97,65,62,25,37,7
1521,,Med/Surg,10,20,5,15,10,8,5,6,1
1522,,Mat/Surg,8,15,3,12,6,9,3,4,0
1523,,Lying-In,12,25,6,18,14,13,4,7,2
1524,,NICU,5,8,2,6,3,4,1,2,0
1525,,CDU,7,10,4,8,5,6,2,3,1
1526,,ICU,4,6,3,5,3,3,1,2,0
1527,,Recovery,9,18,5,14,8,7,3,5,1
1528,,Emergency,10,22,7,16,12,10,4,6,2
1529,,Site Clinic,6,10,3,8,5,4,2,3,0
1530,,Sub-Total,81,141,41,94,63,60,24,36,7
1531,,Nursery,3,5,1,3,2,2,1,1,0
1532,,Total,84,146,42,97,65,62,25,37,7
1533,,Med/Surg,10,20,5,15,10,8,5,6,1
1534,,Mat/Surg,8,15,3,12,6,9,3,4,0
1535,,Lying-In,12,25,6,18,14,13,4,7,2
1536,,NICU,5,8,2,6,3,4,1,2,0
1537,,CDU,7,10,4,8,5,6,2,3,1
1538,,ICU,4,6,3,5,3,3,1,2,0
1539,,Recovery,9,18,5,14,8,7,3,5,1
1540,,Emergency,10,22,7,16,12,10,4,6,2
1541,,Site Clinic,6,10,3,8,5,4,2,3,0
1542,,Sub-Total,81,141,41,94,63,60,24,36,7
1543,,Nursery,3,5,1,3,2,2,1,1,0
1544,,Total,84,146,42,97,65,62,25,37,7
1545,,Med/Surg,10,20,5,15,10,8,5,6,1
1546,,Mat/Surg,8,15,3,12,6,9,3,4,0
1547,,Lying-In,12,25,6,18,14,13,4,7,2
1548,,NICU,5,8,2,6,3,4,1,2,0
1549,,CDU,7,10,4,8,5,6,2,3,1
1550,,ICU,4,6,3,5,3,3,1,2,0
1551,,Recovery,9,18,5,14,8,7,3,5,1
1552,,Emergency,10,22,7,16,12,10,4,6,2
1553,,Site Clinic,6,10,3,8,5,4,2,3,0
1554,,Sub-Total,81,141,41,94,63,60,24,36,7
1555,,Nursery,3,5,1,3,2,2,1,1,0
1556,,Total,84,146,42,97,65,62,25,37,7
1557,,Med/Surg,10,20,5,15,10,8,5,6,1
1558,,Mat/Surg,8,15,3,12,6,9,3,4,0
1559,,Lying-In,12,25,6,18,14,13,4,7,2
1560,,NICU,5,8,2,6,3,4,1,2,0
1561,,CDU,7,10,4,8,5,6,2,3,1
1562,,ICU,4,6,3,5,3,3,1,2,0
1563,,Recovery,9,18,5,14,8,7,3,5,1
1564,,Emergency,10,22,7,16,12,10,4,6,2
1565,,Site Clinic,6,10,3,8,5,4,2,3,0
1566,,Sub-Total,81,141,41,94,63,60,24,36,7
1567,,Nursery,3,5,1,3,2,2,1,1,0
1568,,Total,84,146,42,97,65,62,25,37,7
1569,,Med/Surg,10,20,5,15,10,8,5,6,1
1570,,Mat/Surg,8,15,3,12,6,9,3,4,0
1571,,Lying-In,12,25,6,18,14,13,4,7,2
1572,,NICU,5,8,2,6,3,4,1,2,0
1573,,CDU,7,10,4,8,5,6,2,3,1
1574,,ICU,4,6,3,5,3,3,1,2,0
1575,,Recovery,9,18,5,14,8,7,3,5,1
1576,,Emergency,10,22,7,16,12,10,4,6,2
1577,,Site Clinic,6,10,3,8,5,4,2,3,0
1578,,Sub-Total,81,141,41,94,63,60,24,36,7
1579,,Nursery,3,5,1,3,2,2,1,1,0
1580,,Total,84,146,42,97,65,62,25,37,7
1581,,Med/Surg,10,20,5,15,10,8,5,6,1
1582,,Mat/Surg,8,15,3,12,6,9,3,4,0
1583,,Lying-In,12,25,6,18,14,13,4,7,2
1584,,NICU,5,8,2,6,3,4,1,2,0
1585,,CDU,7,10,4,8,5,6,2,3,1
1586,,ICU,4,6,3,5,3,3,1,2,0
1587,,Recovery,9,18,5,14,8,7,3,5,1
1588,,Emergency,10,22,7,16,12,10,4,6,2
1589,,Site Clinic,6,10,3,8,5,4,2,3,0
1590,,Sub-Total,81,141,41,94,63,60,24,36,7
1591,,Nursery,3,5,1,3,2,2,1,1,0
1592,,Total,84,146,42,97,65,62,25,37,7
1593,,Med/Surg,10,20,5,15,10,8,5,6,1
1594,,Mat/Surg,8,15,3,12,6,9,3,4,0
1595,,Lying-In,12,25,6,18,14,13,4,7,2
1596,,NICU,5,8,2,6,3,4,1,2,0
1597,,CDU,7,10,4,8,5,6,2,3,1
1598,,ICU,4,6,3,5,3,3,1,2,0
1599,,Recovery,9,18,5,14,8,7,3,5,1
1600,,Emergency,10,22,7,16,12,10,4,6,2
1601,,Site Clinic,6,10,3,8,5,4,2,3,0
1602,,Sub-Total,81,141,41,94,63,60,24,36,7
1603,,Nursery,3,5,1,3,2,2,1,1,0
1604,,Total,84,146,42,97,65,62,25,37,7
1605,,Med/Surg,10,20,5,15,10,8,5,6,1
1606,,Mat/Surg,8,15,3,12,6,9,3,4,0
1607,,Lying-In,12,25,6,18,14,13,4,7,2
1608,,NICU,5,8,2,6,3,4,1,2,0
1609,,CDU,7,10,4,8,5,6,2,3,1
1610,,ICU,4,6,3,5,3,3,1,2,0
1611,,Recovery,9,18,5,14,8,7,3,5,1
1612,,Emergency,10,22,7,16,12,10,4,6,2
1613,,Site Clinic,6,10,3,8,5,4,2,3,0
1614,,Sub-Total,81,141,41,94,63,60,24,36,7
1615,,Nursery,3,5,1,3,2,2,1,1,0
1616,,Total,84,146,42,97,65,62,25,37,7
1617,,Med/Surg,10,20,5,15,10,8,5,6,1
1618,,Mat/Surg,8,15,3,12,6,9,3,4,0
1619,,Lying-In,12,25,6,18,14,13,4,7,2
1620,,NICU,5,8,2,6,3,4,1,2,0
1621,,CDU,7,10,4,8,5,6,2,3,1
1622,,ICU,4,6,3,5,3,3,1,2,0
1623,,Recovery,9,18,5,14,8,7,3,5,1
1624,,Emergency,10,22,7,16,12,10,4,6,2
1625,,Site Clinic,6,10,3,8,5,4,2,3,0
1626,,Sub-Total,81,141,41,94,63,60,24,36,7
1627,,Nursery,3,5,1,3,2,2,1,1,0
1628,,Total,84,146,42,97,65,62,25,37,7
1629,,Med/Surg,10,20,5,15,10,8,5,6,1
1630,,Mat/Surg,8,15,3,12,6,9,3,4,0
1631,,Lying-In,12,25,6,18,14,13,4,7,2
1632,,NICU,5,8,2,6,3,4,1,2,0
1633,,CDU,7,10,4,8,5,6,2,3,1
1634,,ICU,4,6,3,5,3,3,1,2,0
1635,,Recovery,9,18,5,14,8,7,3,5,1
1636,,Emergency,10,22,7,16,12,10,4,6,2
1637,,Site Clinic,6,10,3,8,5,4,2,3,0
1638,,Sub-Total,81,141,41,94,63,60,24,36,7
1639,,Nursery,3,5,1,3,2,2,1,1,0
1640,,Total,84,146,42,97,65,62,25,37,7
1641,,Med/Surg,10,20,5,15,10,8,5,6,1
1642,,Mat/Surg,8,15,3,12,6,9,3,4,0
1643,,Lying-In,12,25,6,18,14,13,4,7,2
1644,,NICU,5,8,2,6,3,4,1,2,0
1645,,CDU,7,10,4,8,5,6,2,3,1
1646,,ICU,4,6,3,5,3,3,1,2,0
1647,,Recovery,9,18,5,14,8,7,3,5,1
1648,,Emergency,10,22,7,16,12,10,4,6,2
1649,,Site Clinic,6,10,3,8,5,4,2,3,0
1650,,Sub-Total,81,141,41,94,63,60,24,36,7
1651,,Nursery,3,5,1,3,2,2,1,1,0
1652,,Total,84,146,42,97,65,62,25,37,7
1653,,Med/Surg,10,20,5,15,10,8,5,6,1
1654,,Mat/Surg,8,15,3,12,6,9,3,4,0
1655,,Lying-In,12,25,6,18,14,13,4,7,2
1656,,NICU,5,8,2,6,3,4,1,2,0
1657,,CDU,7,10,4,8,5,6,2,3,1
1658,,ICU,4,6,3,5,3,3,1,2,0
1659,,Recovery,9,18,5,14,8,7,3,5,1
1660,,Emergency,10,22,7,16,12,10,4,6,2
1661,,Site Clinic,6,10,3,8,5,4,2,3,0
1662,,Sub-Total,81,141,41,94,63,60,24,36,7
1663,,Nursery,3,5,1,3,2,2,1,1,0
1664,,Total,84,146,42,97,65,62,25,37,7
1665,,Med/Surg,10,20,5,15,10,8,5,6,1
1666,,Mat/Surg,8,15,3,12,6,9,3,4,0
1667,,Lying-In,12,25,6,18,14,13,4,7,2
1668,,NICU,5,8,2,6,3,4,1,2,0
1669,,CDU,7,10,4,8,5,6,2,3,1
1670,,ICU,4,6,3,5,3,3,1,2,0
1671,,Recovery,9,18,5,14,8,7,3,5,1
1672,,Emergency,10,22,7,16,12,10,4,6,2
1673,,Site Clinic,6,10,3,8,5,4,2,3,0
1674,,Sub-Total,81,141,41,94,63,60,24,36,7
1675,,Nursery,3,5,1,3,2,2,1,1,0
1676,,Total,84,146,42,97,65,62,25,37,7
1677,,Med/Surg,10,20,5,15,10,8,5,6,1
1678,,Mat/Surg,8,15,3,12,6,9,3,4,0
1679,,Lying-In,12,25,6,18,14,13,4,7,2
1680,,NICU,5,8,2,6,3,4,1,2,0
1681,,CDU,7,10,4,8,5,6,2,3,1
1682,,ICU,4,6,3,5,3,3,1,2,0
1683,,Recovery,9,18,5,14,8,7,3,5,1
1684,,Emergency,10,22,7,16,12,10,4,6,2
1685,,Site Clinic,6,10,3,8,5,4,2,3,0
1686,,Sub-Total,81,141,41,94,63,60,24,36,7
1687,,Nursery,3,5,1,3,2,2,1,1,0
1688,,Total,84,146,42,97,65,62,25,37,7
1689,,Med/Surg,10,20,5,15,10,8,5,6,1
1690,,Mat/Surg,8,15,3,12,6,9,3,4,0
1691,,Lying-In,12,25,6,18,14,13,4,7,2
1692,,NICU,5,8,2,6,3,4,1,2,0
1693,,CDU,7,10,4,8,5,6,2,3,1
1694,,ICU,4,6,3,5,3,3,1,2,0
1695,,Recovery,9,18,5,14,8,7,3,5,1
1696,,Emergency,10,22,7,16,12,10,4,6,2
1697,,Site Clinic,6,10,3,8,5,4,2,3,0
1698,,Sub-Total,81,141,41,94,63,60,24,36,7
1699,,Nursery,3,5,1,3,2,2,1,1,0
1700,,Total,84,146,42,97,65,62,25,37,7
1701,,Med/Surg,10,20,5,15,10,8,5,6,1
1702,,Mat/Surg,8,15,3,12,6,9,3,4,0
1703,,Lying-In,12,25,6,18,14,13,4,7,2
1704,,NICU,5,8,2,6,3,4,1,2,0
1705,,CDU,7,10,4,8,5,6,2,3,1
1706,,ICU,4,6,3,5,3,3,1,2,0
1707,,Recovery,9,18,5,14,8,7,3,5,1
1708,,Emergency,10,22,7,16,12,10,4,6,2
1709,,Site Clinic,6,10,3,8,5,4,2,3,0
1710,,Sub-Total,81,141,41,94,63,60,24,36,7
1711,,Nursery,3,5,1,3,2,2,1,1,0
1712,,Total,84,146,42,97,65,62,25,37,7
1713,,Med/Surg,10,20,5,15,10,8,5,6,1
1714,,Mat/Surg,8,15,3,12,6,9,3,4,0
1715,,Lying-In,12,25,6,18,14,13,4,7,2
1716,,NICU,5,8,2,6,3,4,1,2,0
1717,,CDU,7,10,4,8,5,6,2,3,1
1718,,ICU,4,6,3,5,3,3,1,2,0
1719,,Recovery,9,18,5,14,8,7,3,5,1
1720,,Emergency,10,22,7,16,12,10,4,6,2
1721,,Site Clinic,6,10,3,8,5,4,2,3,0
1722,,Sub-Total,81,141,41,94,63,60,24,36,7
1723,,Nursery,3,5,1,3,2,2,1,1,0
1724,,Total,84,146,42,97,65,62,25,37,7
1725,,Med/Surg,10,20,5,15,10,8,5,6,1
1726,,Mat/Surg,8,15,3,12,6,9,3,4,0
1727,,Lying-In,12,25,6,18,14,13,4,7,2
1728,,NICU,5,8,2,6,3,4,1,2,0
1729,,CDU,7,10,4,8,5,6,2,3,1
1730,,ICU,4,6,3,5,3,3,1,2,0
1731,,Recovery,9,18,5,14,8,7,3,5,1
1732,,Emergency,10,22,7,16,12,10,4,6,2
1733,,Site Clinic,6,10,3,8,5,4,2,3,0
1734,,Sub-Total,81,141,41,94,63,60,24,36,7
1735,,Nursery,3,5,1,3,2,2,1,1,0
1736,,Total,84,146,42,97,65,62,25,37,7
1737,,Med/Surg,10,20,5,15,10,8,5,6,1
1738,,Mat/Surg,8,15,3,12,6,9,3,4,0
1739,,Lying-In,12,25,6,18,14,13,4,7,2
1740,,NICU,5,8,2,6,3,4,1,2,0
1741,,CDU,7,10,4,8,5,6,2,3,1
1742,,ICU,4,6,3,5,3,3,1,2,0
1743,,Recovery,9,18,5,14,8,7,3,5,1
1744,,Emergency,10,22,7,16,12,10,4,6,2
1745,,Site Clinic,6,10,3,8,5,4,2,3,0
1746,,Sub-Total,81,141,41,94,63,60,24,36,7
1747,,Nursery,3,5,1,3,2,2,1,1,0
1748,,Total,84,146,42,97,65,62,25,37,7
1749,,Med/Surg,10,20,5,15,10,8,5,6,1
1750,,Mat/Surg,8,15,3,12,6,9,3,4,0
1751,,Lying-In,12,25,6,18,14,13,4,7,2
1752,,NICU,5,8,2,6,3,4,1,2,0
1753,,CDU,7,10,4,8,5,6,2,3,1
1754,,ICU,4,6,3,5,3,3,1,2,0
1755,,Recovery,9,18,5,14,8,7,3,5,1
1756,,Emergency,10,22,7,16,12,10,4,6,2
1757,,Site Clinic,6,10,3,8,5,4,2,3,0
1758,,Sub-Total,81,141,41,94,63,60,24,36,7
1759,,Nursery,3,5,1,3,2,2,1,1,0
1760,,Total,84,146,42,97,65,62,25,37,7
1761,,Med/Surg,10,20,5,15,10,8,5,6,1
1762,,Mat/Surg,8,15,3,12,6,9,3,4,0
1763,,Lying-In,12,25,6,18,14,13,4,7,2
1764,,NICU,5,8,2,6,3,4,1,2,0
1765,,CDU,7,10,4,8,5,6,2,3,1
1766,,ICU,4,6,3,5,3,3,1,2,0
1767,,Recovery,9,18,5,14,8,7,3,5,1
1768,,Emergency,10,22,7,16,12,10,4,6,2
1769,,Site Clinic,6,10,3,8,5,4,2,3,0
1770,,Sub-Total,81,141,41,94,63,60,24,36,7
1771,,Nursery,3,5,1,3,2,2,1,1,0
1772,,Total,84,146,42,97,65,62,25,37,7
1773,,Med/Surg,10,20,5,15,10,8,5,6,1
1774,,Mat/Surg,8,15,3,12,6,9,3,4,0
1775,,Lying-In,12,25,6,18,14,13,4,7,2
1776,,NICU,5,8,2,6,3,4,1,2,0
1777,,CDU,7,10,4,8,5,6,2,3,1
1778,,ICU,4,6,3,5,3,3,1,2,0
1779,,Recovery,9,18,5,14,8,7,3,5,1
1780,,Emergency,10,22,7,16,12,10,4,6,2
1781,,Site Clinic,6,10,3,8,5,4,2,3,0
1782,,Sub-Total,81,141,41,94,63,60,24,36,7
1783,,Nursery,3,5,1,3,2,2,1,1,0
1784,,Total,84,146,42,97,65,62,25,37,7
1785,,Med/Surg,10,20,5,15,10,8,5,6,1
1786,,Mat/Surg,8,15,3,12,6,9,3,4,0
1787,,Lying-In,12,25,6,18,14,13,4,7,2
1788,,NICU,5,8,2,6,3,4,1,2,0
1789,,CDU,7,10,4,8,5,6,2,3,1
1790,,ICU,4,6,3,5,3,3,1,2,0
1791,,Recovery,9,18,5,14,8,7,3,5,1
1792,,Emergency,10,22,7,16,12,10,4,6,2
1793,,Site Clinic,6,10,3,8,5,4,2,3,0
1794,,Sub-Total,81,141,41,94,63,60,24,36,7
1795,,Nursery,3,5,1,3,2,2,1,1,0
1796,,Total,84,146,42,97,65,62,25,37,7
1797,,Med/Surg,10,20,5,15,10,8,5,6,1
1798,,Mat/Surg,8,15,3,12,6,9,3,4,0
1799,,Lying-In,12,25,6,18,14,13,4,7,2
1800,,NICU,5,8,2,6,3,4,1,2,0
1801,,CDU,7,10,4,8,5,6,2,3,1
1802,,ICU,4,6,3,5,3,3,1,2,0
1803,,Recovery,9,18,5,14,8,7,3,5,1
1804,,Emergency,10,22,7,16,12,10,4,6,2
1805,,Site Clinic,6,10,3,8,5,4,2,3,0
1806,,Sub-Total,81,141,41,94,63,60,24,36,7
1807,,Nursery,3,5,1,3,2,2,1,1,0
1808,,Total,84,146,42,97,65,62,25,37,7
1809,,Med/Surg,10,20,5,15,10,8,5,6,1
1810,,Mat/Surg,8,15,3,12,6,9,3,4,0
1811,,Lying-In,12,25,6,18,14,13,4,7,2
1812,,Med/Surg,10,20,5,15,10,8,5,6,1
1813,,Mat/Surg,8,15,3,12,6,9,3,4,0
1814,,Lying-In,12,25,6,18,14,13,4,7,2
1815,,NICU,5,8,2,6,3,4,1,2,0
1816,,CDU,7,10,4,8,5,6,2,3,1
